B10,B12,B13,B11=B22,B20,B21,B23
2481,36978,10547,99,11818,10560,55860
37697,43133,83686,262,89743,37488,92347
22720,11943,70956,296,77998,70073,63593
64699,91162,95430,410,4328,27304,868
47335,44526,37454,1147,46748,16257,9664
35276,61405,72188,1415,18347,47540,58404
60655,25225,78605,1575,77761,8532,64585
88679,45327,61542,1739,88607,35806,61240
85943,50163,73347,2200,53204,43972,81130
18420,42698,62076,2609,74213,38977,13125
18420,42698,62076,2609,88186,42241,43943
80753,55613,45590,2617,91467,274,25127
53147,77440,29280,2617,49197,90979,25630
54207,20579,86905,2628,23302,74448,83950
71916,79838,87346,2764,69288,33142,60891
30905,40992,38313,2938,82406,78052,98558
48871,95870,15350,3431,70861,85156,66698
26028,27650,85018,3923,8650,87793,27649
67886,49318,14827,3933,8765,96925,82750
50902,45102,53274,4860,26279,72787,81467
91162,17897,59783,4881,94517,96886,31275
68381,85376,29845,4972,88077,75819,16321
67551,94340,69400,5480,7213,45502,14110
70167,42698,24966,5696,93175,78111,82037
44028,11965,2674,6228,5827,47654,65203
17780,91896,79323,6695,87396,79500,82283
96620,43995,16549,7185,95122,50707,99599
65112,18436,54028,7256,17389,56960,27319
87404,96655,26257,7439,70322,71956,72132
20493,31055,19891,8691,35623,22715,29566
97094,6907,40897,8711,66951,58905,12598
97094,6907,40897,8711,80731,50860,44553
38766,77083,35172,9041,74469,96905,62369
43504,88413,70475,9131,18916,29908,5839
44799,46040,63192,9215,31954,64437,47765
48334,33404,27074,9377,21966,13838,35394
60681,14989,35348,10158,60398,77652,24008
82200,3047,91240,10285,24321,33427,43452
35616,69698,61538,10572,21034,39267,84648
14302,89452,52754,10966,25792,27868,60271
22476,43862,44127,10989,93773,46622,871
96845,53757,78307,11776,94576,97624,21616
36370,54359,75443,13081,30126,22941,99677
72693,91013,18659,13187,10379,76093,93196
41836,20694,18727,13249,69403,57999,61904
53801,57022,476,15100,69080,18582,64713
42379,42773,25984,15152,38272,41952,28069
85097,59770,17034,15661,65216,21967,17612
81008,87883,18317,16252,2111,31621,53757
75655,64863,37490,16328,38351,72500,87219
73085,74621,90385,16431,91333,64006,44039
22961,36053,64287,17047,96269,4899,76590
47823,72095,96474,17058,81769,84148,57640
2497,78692,25731,17141,85899,62686,32568
90018,86145,5327,17389,37542,49913,31860
73156,51669,5672,17824,7407,16227,46084
98322,99924,71141,19070,35611,15312,94601
34168,37748,59216,19087,81666,37419,60838
10114,63256,47525,19316,18661,99465,58238
80026,30661,62596,19688,5752,67391,43132
81720,50479,47235,19773,51179,12032,92899
5285,96431,31788,19871,42347,54256,36055
78420,52985,88520,19942,58572,99401,46141
81936,20557,80152,21185,24321,15137,84706
39837,33796,7434,21254,53678,25955,80118
37100,5660,47240,22559,4519,27646,64316
1366,4003,71330,22559,87185,96814,53794
84156,60844,84305,22863,95988,65751,5358
2586,86245,25282,22973,24855,1680,51625
13888,15019,76442,23962,10817,27260,60266
42071,96183,2517,24247,44871,65153,37740
92841,95027,89318,24552,54573,31506,45469
99940,53954,76784,24619,24613,35482,75532
7627,52084,75369,24856,90890,32644,89829
1266,88926,43193,25570,88678,8572,83886
47106,89201,53151,25814,11331,49134,96504
78297,69824,2648,26323,50382,80371,87426
4613,67114,11854,26395,69259,88971,44932
54734,74000,28257,26610,5721,34490,60629
65779,27114,29487,26955,52045,89874,2014
24794,25206,13691,27328,20002,74937,44538
70890,16405,39847,27521,22109,90102,27951
76906,6565,21254,27574,66038,50042,33905
